"year","month","job","level","remote","turnover_rate"
1,12,"People Scientist",1,"Yes",5.35
2,12,"People Scientist",1,"Yes",5.66
3,12,"People Scientist",1,"Yes",4.89
4,12,"People Scientist",1,"Yes",5.23
5,12,"People Scientist",1,"Yes",8.84
1,1,"Data Engineer",1,"Yes",5.93
2,1,"Data Engineer",1,"Yes",6.24
3,1,"Data Engineer",1,"Yes",5.47
4,1,"Data Engineer",1,"Yes",5.81
5,1,"Data Engineer",1,"Yes",9.42
1,2,"Data Engineer",1,"Yes",7.25
2,2,"Data Engineer",1,"Yes",7.56
3,2,"Data Engineer",1,"Yes",6.79
4,2,"Data Engineer",1,"Yes",7.13
5,2,"Data Engineer",1,"Yes",10.74
1,3,"Data Engineer",1,"Yes",7.99
2,3,"Data Engineer",1,"Yes",8.3
3,3,"Data Engineer",1,"Yes",7.53
4,3,"Data Engineer",1,"Yes",7.87
5,3,"Data Engineer",1,"Yes",11.48
1,4,"Data Engineer",1,"Yes",8.27
2,4,"Data Engineer",1,"Yes",8.58
3,4,"Data Engineer",1,"Yes",7.81
4,4,"Data Engineer",1,"Yes",8.15
5,4,"Data Engineer",1,"Yes",11.76
1,5,"Data Engineer",1,"Yes",8.21
2,5,"Data Engineer",1,"Yes",8.52
3,5,"Data Engineer",1,"Yes",7.75
4,5,"Data Engineer",1,"Yes",8.09
5,5,"Data Engineer",1,"Yes",11.7
1,6,"Data Engineer",1,"Yes",7.93
2,6,"Data Engineer",1,"Yes",8.24
3,6,"Data Engineer",1,"Yes",7.47
4,6,"Data Engineer",1,"Yes",7.81
5,6,"Data Engineer",1,"Yes",11.42
1,7,"Data Engineer",1,"Yes",7.55
2,7,"Data Engineer",1,"Yes",7.86
3,7,"Data Engineer",1,"Yes",7.09
4,7,"Data Engineer",1,"Yes",7.43
5,7,"Data Engineer",1,"Yes",11.04
1,8,"Data Engineer",1,"Yes",7.19
2,8,"Data Engineer",1,"Yes",7.5
3,8,"Data Engineer",1,"Yes",6.73
4,8,"Data Engineer",1,"Yes",7.07
5,8,"Data Engineer",1,"Yes",10.68
1,9,"Data Engineer",1,"Yes",6.97
2,9,"Data Engineer",1,"Yes",7.28
3,9,"Data Engineer",1,"Yes",6.51
4,9,"Data Engineer",1,"Yes",6.85
5,9,"Data Engineer",1,"Yes",10.46
1,10,"Data Engineer",1,"Yes",7.01
2,10,"Data Engineer",1,"Yes",7.32
3,10,"Data Engineer",1,"Yes",6.55
4,10,"Data Engineer",1,"Yes",6.89
5,10,"Data Engineer",1,"Yes",10.5
1,11,"Data Engineer",1,"Yes",7.43
2,11,"Data Engineer",1,"Yes",7.74
3,11,"Data Engineer",1,"Yes",6.97
4,11,"Data Engineer",1,"Yes",7.31
5,11,"Data Engineer",1,"Yes",10.92
1,12,"Data Engineer",1,"Yes",8.35
2,12,"Data Engineer",1,"Yes",8.66
3,12,"Data Engineer",1,"Yes",7.89
4,12,"Data Engineer",1,"Yes",8.23
5,12,"Data Engineer",1,"Yes",11.84
1,1,"People Analyst",1,"Yes",4.93
2,1,"People Analyst",1,"Yes",5.24
3,1,"People Analyst",1,"Yes",4.47
4,1,"People Analyst",1,"Yes",4.81
5,1,"People Analyst",1,"Yes",8.42
1,2,"People Analyst",1,"Yes",6.25
2,2,"People Analyst",1,"Yes",6.56
3,2,"People Analyst",1,"Yes",5.79
4,2,"People Analyst",1,"Yes",6.13
5,2,"People Analyst",1,"Yes",9.74
1,3,"People Analyst",1,"Yes",6.99
2,3,"People Analyst",1,"Yes",7.3
3,3,"People Analyst",1,"Yes",6.53
4,3,"People Analyst",1,"Yes",6.87
5,3,"People Analyst",1,"Yes",10.48
1,4,"People Analyst",1,"Yes",7.27
2,4,"People Analyst",1,"Yes",7.58
3,4,"People Analyst",1,"Yes",6.81
4,4,"People Analyst",1,"Yes",7.15
5,4,"People Analyst",1,"Yes",10.76
1,5,"People Analyst",1,"Yes",7.21
2,5,"People Analyst",1,"Yes",7.52
3,5,"People Analyst",1,"Yes",6.75
4,5,"People Analyst",1,"Yes",7.09
5,5,"People Analyst",1,"Yes",10.7
1,6,"People Analyst",1,"Yes",6.93
2,6,"People Analyst",1,"Yes",7.24
3,6,"People Analyst",1,"Yes",6.47
4,6,"People Analyst",1,"Yes",6.81
5,6,"People Analyst",1,"Yes",10.42
1,7,"People Analyst",1,"Yes",6.55
2,7,"People Analyst",1,"Yes",6.86
3,7,"People Analyst",1,"Yes",6.09
4,7,"People Analyst",1,"Yes",6.43
5,7,"People Analyst",1,"Yes",10.04
1,8,"People Analyst",1,"Yes",6.19
2,8,"People Analyst",1,"Yes",6.5
3,8,"People Analyst",1,"Yes",5.73
4,8,"People Analyst",1,"Yes",6.07
5,8,"People Analyst",1,"Yes",9.68
1,9,"People Analyst",1,"Yes",5.97
2,9,"People Analyst",1,"Yes",6.28
3,9,"People Analyst",1,"Yes",5.51
4,9,"People Analyst",1,"Yes",5.85
5,9,"People Analyst",1,"Yes",9.46
1,10,"People Analyst",1,"Yes",6.01
2,10,"People Analyst",1,"Yes",6.32
3,10,"People Analyst",1,"Yes",5.55
4,10,"People Analyst",1,"Yes",5.89
5,10,"People Analyst",1,"Yes",9.5
1,11,"People Analyst",1,"Yes",6.43
2,11,"People Analyst",1,"Yes",6.74
3,11,"People Analyst",1,"Yes",5.97
4,11,"People Analyst",1,"Yes",6.31
5,11,"People Analyst",1,"Yes",9.92
1,12,"People Analyst",1,"Yes",7.35
2,12,"People Analyst",1,"Yes",7.66
3,12,"People Analyst",1,"Yes",6.89
4,12,"People Analyst",1,"Yes",7.23
5,12,"People Analyst",1,"Yes",10.84
1,1,"BI Developer",1,"Yes",3.93
2,1,"BI Developer",1,"Yes",4.24
3,1,"BI Developer",1,"Yes",3.47
4,1,"BI Developer",1,"Yes",3.81
5,1,"BI Developer",1,"Yes",7.42
1,2,"BI Developer",1,"Yes",5.25
2,2,"BI Developer",1,"Yes",5.56
3,2,"BI Developer",1,"Yes",4.79
4,2,"BI Developer",1,"Yes",5.13
5,2,"BI Developer",1,"Yes",8.74
1,3,"BI Developer",1,"Yes",5.99
2,3,"BI Developer",1,"Yes",6.3
3,3,"BI Developer",1,"Yes",5.53
4,3,"BI Developer",1,"Yes",5.87
5,3,"BI Developer",1,"Yes",9.48
1,4,"BI Developer",1,"Yes",6.27
2,4,"BI Developer",1,"Yes",6.58
3,4,"BI Developer",1,"Yes",5.81
4,4,"BI Developer",1,"Yes",6.15
5,4,"BI Developer",1,"Yes",9.76
1,5,"BI Developer",1,"Yes",6.21
2,5,"BI Developer",1,"Yes",6.52
3,5,"BI Developer",1,"Yes",5.75
4,5,"BI Developer",1,"Yes",6.09
5,5,"BI Developer",1,"Yes",9.7
1,6,"BI Developer",1,"Yes",5.93
2,6,"BI Developer",1,"Yes",6.24
3,6,"BI Developer",1,"Yes",5.47
4,6,"BI Developer",1,"Yes",5.81
5,6,"BI Developer",1,"Yes",9.42
1,7,"BI Developer",1,"Yes",5.55
2,7,"BI Developer",1,"Yes",5.86
3,7,"BI Developer",1,"Yes",5.09
4,7,"BI Developer",1,"Yes",5.43
5,7,"BI Developer",1,"Yes",9.04
1,8,"BI Developer",1,"Yes",5.19
2,8,"BI Developer",1,"Yes",5.5
3,8,"BI Developer",1,"Yes",4.73
4,8,"BI Developer",1,"Yes",5.07
5,8,"BI Developer",1,"Yes",8.68
1,9,"BI Developer",1,"Yes",4.97
2,9,"BI Developer",1,"Yes",5.28
3,9,"BI Developer",1,"Yes",4.51
4,9,"BI Developer",1,"Yes",4.85
5,9,"BI Developer",1,"Yes",8.46
1,10,"BI Developer",1,"Yes",5.01
2,10,"BI Developer",1,"Yes",5.32
3,10,"BI Developer",1,"Yes",4.55
4,10,"BI Developer",1,"Yes",4.89
5,10,"BI Developer",1,"Yes",8.5
1,11,"BI Developer",1,"Yes",5.43
2,11,"BI Developer",1,"Yes",5.74
3,11,"BI Developer",1,"Yes",4.97
4,11,"BI Developer",1,"Yes",5.31
5,11,"BI Developer",1,"Yes",8.92
1,12,"BI Developer",1,"Yes",6.35
2,12,"BI Developer",1,"Yes",6.66
3,12,"BI Developer",1,"Yes",5.89
4,12,"BI Developer",1,"Yes",6.23
5,12,"BI Developer",1,"Yes",9.84
1,1,"Insights Consultant",1,"Yes",5.43
2,1,"Insights Consultant",1,"Yes",5.74
3,1,"Insights Consultant",1,"Yes",4.97
4,1,"Insights Consultant",1,"Yes",5.31
5,1,"Insights Consultant",1,"Yes",8.92
1,2,"Insights Consultant",1,"Yes",6.75
2,2,"Insights Consultant",1,"Yes",7.06
3,2,"Insights Consultant",1,"Yes",6.29
4,2,"Insights Consultant",1,"Yes",6.63
5,2,"Insights Consultant",1,"Yes",10.24
1,3,"Insights Consultant",1,"Yes",7.49
2,3,"Insights Consultant",1,"Yes",7.8
3,3,"Insights Consultant",1,"Yes",7.03
4,3,"Insights Consultant",1,"Yes",7.37
5,3,"Insights Consultant",1,"Yes",10.98
1,4,"Insights Consultant",1,"Yes",7.77
2,4,"Insights Consultant",1,"Yes",8.08
3,4,"Insights Consultant",1,"Yes",7.31
4,4,"Insights Consultant",1,"Yes",7.65
5,4,"Insights Consultant",1,"Yes",11.26
1,5,"Insights Consultant",1,"Yes",7.71
2,5,"Insights Consultant",1,"Yes",8.02
3,5,"Insights Consultant",1,"Yes",7.25
4,5,"Insights Consultant",1,"Yes",7.59
5,5,"Insights Consultant",1,"Yes",11.2
1,6,"Insights Consultant",1,"Yes",7.43
2,6,"Insights Consultant",1,"Yes",7.74
3,6,"Insights Consultant",1,"Yes",6.97
4,6,"Insights Consultant",1,"Yes",7.31
5,6,"Insights Consultant",1,"Yes",10.92
1,7,"Insights Consultant",1,"Yes",7.05
2,7,"Insights Consultant",1,"Yes",7.36
3,7,"Insights Consultant",1,"Yes",6.59
4,7,"Insights Consultant",1,"Yes",6.93
5,7,"Insights Consultant",1,"Yes",10.54
1,8,"Insights Consultant",1,"Yes",6.69
2,8,"Insights Consultant",1,"Yes",7
3,8,"Insights Consultant",1,"Yes",6.23
4,8,"Insights Consultant",1,"Yes",6.57
5,8,"Insights Consultant",1,"Yes",10.18
1,9,"Insights Consultant",1,"Yes",6.47
2,9,"Insights Consultant",1,"Yes",6.78
3,9,"Insights Consultant",1,"Yes",6.01
4,9,"Insights Consultant",1,"Yes",6.35
5,9,"Insights Consultant",1,"Yes",9.96
1,10,"Insights Consultant",1,"Yes",6.51
2,10,"Insights Consultant",1,"Yes",6.82
3,10,"Insights Consultant",1,"Yes",6.05
4,10,"Insights Consultant",1,"Yes",6.39
5,10,"Insights Consultant",1,"Yes",10
1,11,"Insights Consultant",1,"Yes",6.93
2,11,"Insights Consultant",1,"Yes",7.24
3,11,"Insights Consultant",1,"Yes",6.47
4,11,"Insights Consultant",1,"Yes",6.81
5,11,"Insights Consultant",1,"Yes",10.42
1,12,"Insights Consultant",1,"Yes",7.85
2,12,"Insights Consultant",1,"Yes",8.16
3,12,"Insights Consultant",1,"Yes",7.39
4,12,"Insights Consultant",1,"Yes",7.73
5,12,"Insights Consultant",1,"Yes",11.34
1,1,"People Scientist",2,"Yes",2.64
2,1,"People Scientist",2,"Yes",2.95
3,1,"People Scientist",2,"Yes",2.19
4,1,"People Scientist",2,"Yes",2.52
5,1,"People Scientist",2,"Yes",6.13
1,2,"People Scientist",2,"Yes",3.96
2,2,"People Scientist",2,"Yes",4.27
3,2,"People Scientist",2,"Yes",3.51
4,2,"People Scientist",2,"Yes",3.84
5,2,"People Scientist",2,"Yes",7.45
1,3,"People Scientist",2,"Yes",4.7
2,3,"People Scientist",2,"Yes",5.01
3,3,"People Scientist",2,"Yes",4.25
4,3,"People Scientist",2,"Yes",4.58
5,3,"People Scientist",2,"Yes",8.19
1,4,"People Scientist",2,"Yes",4.98
2,4,"People Scientist",2,"Yes",5.29
3,4,"People Scientist",2,"Yes",4.53
4,4,"People Scientist",2,"Yes",4.86
5,4,"People Scientist",2,"Yes",8.47
1,5,"People Scientist",2,"Yes",4.92
2,5,"People Scientist",2,"Yes",5.23
3,5,"People Scientist",2,"Yes",4.47
4,5,"People Scientist",2,"Yes",4.8
5,5,"People Scientist",2,"Yes",8.41
1,6,"People Scientist",2,"Yes",4.64
2,6,"People Scientist",2,"Yes",4.95
3,6,"People Scientist",2,"Yes",4.19
4,6,"People Scientist",2,"Yes",4.52
5,6,"People Scientist",2,"Yes",8.13
1,7,"People Scientist",2,"Yes",4.26
2,7,"People Scientist",2,"Yes",4.57
3,7,"People Scientist",2,"Yes",3.81
4,7,"People Scientist",2,"Yes",4.14
5,7,"People Scientist",2,"Yes",7.75
1,8,"People Scientist",2,"Yes",3.9
2,8,"People Scientist",2,"Yes",4.21
3,8,"People Scientist",2,"Yes",3.45
4,8,"People Scientist",2,"Yes",3.78
5,8,"People Scientist",2,"Yes",7.39
1,9,"People Scientist",2,"Yes",3.68
2,9,"People Scientist",2,"Yes",3.99
3,9,"People Scientist",2,"Yes",3.23
4,9,"People Scientist",2,"Yes",3.56
5,9,"People Scientist",2,"Yes",7.17
1,10,"People Scientist",2,"Yes",3.72
2,10,"People Scientist",2,"Yes",4.03
3,10,"People Scientist",2,"Yes",3.27
4,10,"People Scientist",2,"Yes",3.6
5,10,"People Scientist",2,"Yes",7.21
1,11,"People Scientist",2,"Yes",4.14
2,11,"People Scientist",2,"Yes",4.45
3,11,"People Scientist",2,"Yes",3.69
4,11,"People Scientist",2,"Yes",4.02
5,11,"People Scientist",2,"Yes",7.63
1,12,"People Scientist",2,"Yes",5.06
2,12,"People Scientist",2,"Yes",5.37
3,12,"People Scientist",2,"Yes",4.61
4,12,"People Scientist",2,"Yes",4.94
5,12,"People Scientist",2,"Yes",8.55
1,1,"Data Engineer",2,"Yes",5.64
2,1,"Data Engineer",2,"Yes",5.95
3,1,"Data Engineer",2,"Yes",5.19
4,1,"Data Engineer",2,"Yes",5.52
5,1,"Data Engineer",2,"Yes",9.13
1,2,"Data Engineer",2,"Yes",6.96
2,2,"Data Engineer",2,"Yes",7.27
3,2,"Data Engineer",2,"Yes",6.51
4,2,"Data Engineer",2,"Yes",6.84
5,2,"Data Engineer",2,"Yes",10.45
1,3,"Data Engineer",2,"Yes",7.7
2,3,"Data Engineer",2,"Yes",8.01
3,3,"Data Engineer",2,"Yes",7.25
4,3,"Data Engineer",2,"Yes",7.58
5,3,"Data Engineer",2,"Yes",11.19
1,4,"Data Engineer",2,"Yes",7.98
2,4,"Data Engineer",2,"Yes",8.29
3,4,"Data Engineer",2,"Yes",7.53
4,4,"Data Engineer",2,"Yes",7.86
5,4,"Data Engineer",2,"Yes",11.47
1,5,"Data Engineer",2,"Yes",7.92
2,5,"Data Engineer",2,"Yes",8.23
3,5,"Data Engineer",2,"Yes",7.47
4,5,"Data Engineer",2,"Yes",7.8
5,5,"Data Engineer",2,"Yes",11.41
1,6,"Data Engineer",2,"Yes",7.64
2,6,"Data Engineer",2,"Yes",7.95
3,6,"Data Engineer",2,"Yes",7.19
4,6,"Data Engineer",2,"Yes",7.52
5,6,"Data Engineer",2,"Yes",11.13
1,7,"Data Engineer",2,"Yes",7.26
2,7,"Data Engineer",2,"Yes",7.57
3,7,"Data Engineer",2,"Yes",6.81
4,7,"Data Engineer",2,"Yes",7.14
5,7,"Data Engineer",2,"Yes",10.75
1,8,"Data Engineer",2,"Yes",6.9
2,8,"Data Engineer",2,"Yes",7.21
3,8,"Data Engineer",2,"Yes",6.45
4,8,"Data Engineer",2,"Yes",6.78
5,8,"Data Engineer",2,"Yes",10.39
1,9,"Data Engineer",2,"Yes",6.68
2,9,"Data Engineer",2,"Yes",6.99
3,9,"Data Engineer",2,"Yes",6.23
4,9,"Data Engineer",2,"Yes",6.56
5,9,"Data Engineer",2,"Yes",10.17
1,10,"Data Engineer",2,"Yes",6.72
2,10,"Data Engineer",2,"Yes",7.03
3,10,"Data Engineer",2,"Yes",6.27
4,10,"Data Engineer",2,"Yes",6.6
5,10,"Data Engineer",2,"Yes",10.21
1,11,"Data Engineer",2,"Yes",7.14
2,11,"Data Engineer",2,"Yes",7.45
3,11,"Data Engineer",2,"Yes",6.69
4,11,"Data Engineer",2,"Yes",7.02
5,11,"Data Engineer",2,"Yes",10.63
1,12,"Data Engineer",2,"Yes",8.06
2,12,"Data Engineer",2,"Yes",8.37
3,12,"Data Engineer",2,"Yes",7.61
4,12,"Data Engineer",2,"Yes",7.94
5,12,"Data Engineer",2,"Yes",11.55
1,1,"People Analyst",2,"Yes",4.64
2,1,"People Analyst",2,"Yes",4.95
3,1,"People Analyst",2,"Yes",4.19
4,1,"People Analyst",2,"Yes",4.52
5,1,"People Analyst",2,"Yes",8.13
1,2,"People Analyst",2,"Yes",5.96
2,2,"People Analyst",2,"Yes",6.27
3,2,"People Analyst",2,"Yes",5.51
4,2,"People Analyst",2,"Yes",5.84
5,2,"People Analyst",2,"Yes",9.45
1,3,"People Analyst",2,"Yes",6.7
2,3,"People Analyst",2,"Yes",7.01
3,3,"People Analyst",2,"Yes",6.25
4,3,"People Analyst",2,"Yes",6.58
5,3,"People Analyst",2,"Yes",10.19
1,4,"People Analyst",2,"Yes",6.98
2,4,"People Analyst",2,"Yes",7.29
3,4,"People Analyst",2,"Yes",6.53
4,4,"People Analyst",2,"Yes",6.86
5,4,"People Analyst",2,"Yes",10.47
1,5,"People Analyst",2,"Yes",6.92
2,5,"People Analyst",2,"Yes",7.23
3,5,"People Analyst",2,"Yes",6.47
4,5,"People Analyst",2,"Yes",6.8
5,5,"People Analyst",2,"Yes",10.41
1,6,"People Analyst",2,"Yes",6.64
2,6,"People Analyst",2,"Yes",6.95
3,6,"People Analyst",2,"Yes",6.19
4,6,"People Analyst",2,"Yes",6.52
5,6,"People Analyst",2,"Yes",10.13
1,7,"People Analyst",2,"Yes",6.26
2,7,"People Analyst",2,"Yes",6.57
3,7,"People Analyst",2,"Yes",5.81
4,7,"People Analyst",2,"Yes",6.14
5,7,"People Analyst",2,"Yes",9.75
1,8,"People Analyst",2,"Yes",5.9
2,8,"People Analyst",2,"Yes",6.21
3,8,"People Analyst",2,"Yes",5.45
4,8,"People Analyst",2,"Yes",5.78
5,8,"People Analyst",2,"Yes",9.39
1,9,"People Analyst",2,"Yes",5.68
2,9,"People Analyst",2,"Yes",5.99
3,9,"People Analyst",2,"Yes",5.23
4,9,"People Analyst",2,"Yes",5.56
5,9,"People Analyst",2,"Yes",9.17
1,10,"People Analyst",2,"Yes",5.72
2,10,"People Analyst",2,"Yes",6.03
3,10,"People Analyst",2,"Yes",5.27
4,10,"People Analyst",2,"Yes",5.6
5,10,"People Analyst",2,"Yes",9.21
1,11,"People Analyst",2,"Yes",6.14
2,11,"People Analyst",2,"Yes",6.45
3,11,"People Analyst",2,"Yes",5.69
4,11,"People Analyst",2,"Yes",6.02
5,11,"People Analyst",2,"Yes",9.63
1,12,"People Analyst",2,"Yes",7.06
2,12,"People Analyst",2,"Yes",7.37
3,12,"People Analyst",2,"Yes",6.61
4,12,"People Analyst",2,"Yes",6.94
5,12,"People Analyst",2,"Yes",10.55
1,1,"BI Developer",2,"Yes",3.64
2,1,"BI Developer",2,"Yes",3.95
3,1,"BI Developer",2,"Yes",3.19
4,1,"BI Developer",2,"Yes",3.52
5,1,"BI Developer",2,"Yes",7.13
1,2,"BI Developer",2,"Yes",4.96
2,2,"BI Developer",2,"Yes",5.27
3,2,"BI Developer",2,"Yes",4.51
4,2,"BI Developer",2,"Yes",4.84
5,2,"BI Developer",2,"Yes",8.45
1,3,"BI Developer",2,"Yes",5.7
2,3,"BI Developer",2,"Yes",6.01
3,3,"BI Developer",2,"Yes",5.25
4,3,"BI Developer",2,"Yes",5.58
5,3,"BI Developer",2,"Yes",9.19
1,4,"BI Developer",2,"Yes",5.98
2,4,"BI Developer",2,"Yes",6.29
3,4,"BI Developer",2,"Yes",5.53
4,4,"BI Developer",2,"Yes",5.86
5,4,"BI Developer",2,"Yes",9.47
1,5,"BI Developer",2,"Yes",5.92
2,5,"BI Developer",2,"Yes",6.23
3,5,"BI Developer",2,"Yes",5.47
4,5,"BI Developer",2,"Yes",5.8
5,5,"BI Developer",2,"Yes",9.41
1,6,"BI Developer",2,"Yes",5.64
2,6,"BI Developer",2,"Yes",5.95
3,6,"BI Developer",2,"Yes",5.19
4,6,"BI Developer",2,"Yes",5.52
5,6,"BI Developer",2,"Yes",9.13
1,7,"BI Developer",2,"Yes",5.26
2,7,"BI Developer",2,"Yes",5.57
3,7,"BI Developer",2,"Yes",4.81
4,7,"BI Developer",2,"Yes",5.14
5,7,"BI Developer",2,"Yes",8.75
1,8,"BI Developer",2,"Yes",4.9
2,8,"BI Developer",2,"Yes",5.21
3,8,"BI Developer",2,"Yes",4.45
4,8,"BI Developer",2,"Yes",4.78
5,8,"BI Developer",2,"Yes",8.39
1,9,"BI Developer",2,"Yes",4.68
2,9,"BI Developer",2,"Yes",4.99
3,9,"BI Developer",2,"Yes",4.23
4,9,"BI Developer",2,"Yes",4.56
5,9,"BI Developer",2,"Yes",8.17
1,10,"BI Developer",2,"Yes",4.72
2,10,"BI Developer",2,"Yes",5.03
3,10,"BI Developer",2,"Yes",4.27
4,10,"BI Developer",2,"Yes",4.6
5,10,"BI Developer",2,"Yes",8.21
1,11,"BI Developer",2,"Yes",5.14
2,11,"BI Developer",2,"Yes",5.45
3,11,"BI Developer",2,"Yes",4.69
4,11,"BI Developer",2,"Yes",5.02
5,11,"BI Developer",2,"Yes",8.63
1,12,"BI Developer",2,"Yes",6.06
2,12,"BI Developer",2,"Yes",6.37
3,12,"BI Developer",2,"Yes",5.61
4,12,"BI Developer",2,"Yes",5.94
5,12,"BI Developer",2,"Yes",9.55
1,1,"Insights Consultant",2,"Yes",5.14
2,1,"Insights Consultant",2,"Yes",5.45
3,1,"Insights Consultant",2,"Yes",4.69
4,1,"Insights Consultant",2,"Yes",5.02
5,1,"Insights Consultant",2,"Yes",8.63
1,2,"Insights Consultant",2,"Yes",6.46
2,2,"Insights Consultant",2,"Yes",6.77
3,2,"Insights Consultant",2,"Yes",6.01
4,2,"Insights Consultant",2,"Yes",6.34
5,2,"Insights Consultant",2,"Yes",9.95
1,3,"Insights Consultant",2,"Yes",7.2
2,3,"Insights Consultant",2,"Yes",7.51
3,3,"Insights Consultant",2,"Yes",6.75
4,3,"Insights Consultant",2,"Yes",7.08
5,3,"Insights Consultant",2,"Yes",10.69
1,4,"Insights Consultant",2,"Yes",7.48
2,4,"Insights Consultant",2,"Yes",7.79
3,4,"Insights Consultant",2,"Yes",7.03
4,4,"Insights Consultant",2,"Yes",7.36
5,4,"Insights Consultant",2,"Yes",10.97
1,5,"Insights Consultant",2,"Yes",7.42
2,5,"Insights Consultant",2,"Yes",7.73
3,5,"Insights Consultant",2,"Yes",6.97
4,5,"Insights Consultant",2,"Yes",7.3
5,5,"Insights Consultant",2,"Yes",10.91
1,6,"Insights Consultant",2,"Yes",7.14
2,6,"Insights Consultant",2,"Yes",7.45
3,6,"Insights Consultant",2,"Yes",6.69
4,6,"Insights Consultant",2,"Yes",7.02
5,6,"Insights Consultant",2,"Yes",10.63
1,7,"Insights Consultant",2,"Yes",6.76
2,7,"Insights Consultant",2,"Yes",7.07
3,7,"Insights Consultant",2,"Yes",6.31
4,7,"Insights Consultant",2,"Yes",6.64
5,7,"Insights Consultant",2,"Yes",10.25
1,8,"Insights Consultant",2,"Yes",6.4
2,8,"Insights Consultant",2,"Yes",6.71
3,8,"Insights Consultant",2,"Yes",5.95
4,8,"Insights Consultant",2,"Yes",6.28
5,8,"Insights Consultant",2,"Yes",9.89
1,9,"Insights Consultant",2,"Yes",6.18
2,9,"Insights Consultant",2,"Yes",6.49
3,9,"Insights Consultant",2,"Yes",5.73
4,9,"Insights Consultant",2,"Yes",6.06
5,9,"Insights Consultant",2,"Yes",9.67
1,10,"Insights Consultant",2,"Yes",6.22
2,10,"Insights Consultant",2,"Yes",6.53
3,10,"Insights Consultant",2,"Yes",5.77
4,10,"Insights Consultant",2,"Yes",6.1
5,10,"Insights Consultant",2,"Yes",9.71
1,11,"Insights Consultant",2,"Yes",6.64
2,11,"Insights Consultant",2,"Yes",6.95
3,11,"Insights Consultant",2,"Yes",6.19
4,11,"Insights Consultant",2,"Yes",6.52
5,11,"Insights Consultant",2,"Yes",10.13
1,12,"Insights Consultant",2,"Yes",7.56
2,12,"Insights Consultant",2,"Yes",7.87
3,12,"Insights Consultant",2,"Yes",7.11
4,12,"Insights Consultant",2,"Yes",7.44
5,12,"Insights Consultant",2,"Yes",11.05
1,1,"People Scientist",3,"Yes",2.36
2,1,"People Scientist",3,"Yes",2.66
3,1,"People Scientist",3,"Yes",1.9
4,1,"People Scientist",3,"Yes",2.24
5,1,"People Scientist",3,"Yes",5.85
1,2,"People Scientist",3,"Yes",3.68
2,2,"People Scientist",3,"Yes",3.98
3,2,"People Scientist",3,"Yes",3.22
4,2,"People Scientist",3,"Yes",3.56
5,2,"People Scientist",3,"Yes",7.17
1,3,"People Scientist",3,"Yes",4.42
2,3,"People Scientist",3,"Yes",4.72
3,3,"People Scientist",3,"Yes",3.96
4,3,"People Scientist",3,"Yes",4.3
5,3,"People Scientist",3,"Yes",7.91
1,4,"People Scientist",3,"Yes",4.7
2,4,"People Scientist",3,"Yes",5
3,4,"People Scientist",3,"Yes",4.24
