employee_id,stock_option_level,trainings_last_year,age,commute_distance,education_level,education_field,gender,marital_status,department,job_involvement,job_level,job_title,overtime,business_travel_frequency,monthly_income,percent_salary_hike,performance_rating,prior_company_count,active_status
1032,3,3,29,27,3,Marketing,Female,Married,Sales,3,3,Sales Executive,No,Travel_Rarely,7639,22,4,1,Yes
1033,0,2,32,4,4,Medical,Male,Married,Sales,1,3,Sales Executive,No,Travel_Rarely,10400,11,3,1,Yes
1034,0,5,30,3,3,Technical Degree,Female,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2657,11,3,5,Yes
1035,0,5,30,26,4,Marketing,Female,Single,Sales,2,2,Sales Executive,No,Travel_Frequently,6696,15,3,5,Yes
1036,0,1,29,1,3,Technical Degree,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,2058,14,3,0,Yes
1037,0,3,29,18,1,Medical,Male,Single,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,2389,13,3,1,Yes
1038,1,2,33,14,3,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2436,13,3,5,Yes
1039,0,3,33,2,2,Life Sciences,Female,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2707,20,4,7,Yes
1040,0,2,32,1,3,Life Sciences,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,3730,14,3,0,Yes
1041,2,5,37,10,3,Medical,Male,Divorced,Research & Development,3,3,Manufacturing Director,No,Travel_Frequently,10048,11,3,6,Yes
1042,0,2,31,29,2,Medical,Male,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Frequently,3479,11,3,0,Yes
1043,0,5,28,2,4,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,3485,11,3,2,Yes
1044,1,2,47,29,4,Life Sciences,Male,Married,Research & Development,3,3,Manager,Yes,Non-Travel,11849,12,3,1,Yes
1045,1,0,44,24,3,Life Sciences,Male,Divorced,Research & Development,3,1,Laboratory Technician,Yes,Travel_Frequently,3161,22,4,3,Yes
1046,1,2,26,16,4,Medical,Male,Divorced,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2373,13,3,2,Yes
1047,0,0,26,4,4,Marketing,Male,Single,Sales,2,2,Sales Executive,Yes,Travel_Rarely,5828,12,3,1,Yes
1048,0,2,18,3,3,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,1420,13,3,1,Yes
1049,0,3,52,8,4,Medical,Male,Married,Research & Development,2,2,Research Scientist,No,Travel_Rarely,4941,15,3,2,Yes
1050,0,4,28,2,4,Medical,Male,Married,Research & Development,1,1,Research Scientist,Yes,Travel_Rarely,3464,13,3,5,Yes
1051,0,3,39,3,2,Medical,Female,Married,Sales,3,2,Sales Executive,Yes,Travel_Rarely,5238,18,3,4,Yes
1052,0,4,29,8,4,Other,Male,Married,Research & Development,1,1,Laboratory Technician,Yes,Travel_Rarely,2119,11,3,1,Yes
1053,0,3,21,1,1,Technical Degree,Female,Single,Sales,2,1,Sales Representative,Yes,Travel_Frequently,2174,11,3,1,Yes
1054,0,2,33,5,3,Marketing,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Rarely,2851,13,3,1,Yes
1055,0,5,41,4,3,Marketing,Male,Single,Sales,3,2,Sales Executive,No,Travel_Frequently,9355,18,3,1,Yes
1056,2,6,40,22,2,Marketing,Male,Married,Sales,2,2,Sales Executive,Yes,Travel_Rarely,6380,12,3,2,Yes
1057,0,0,21,12,3,Life Sciences,Female,Single,Sales,4,1,Sales Representative,No,Travel_Rarely,2716,15,3,1,Yes
1058,0,3,34,19,3,Marketing,Male,Single,Sales,4,2,Sales Executive,Yes,Non-Travel,5304,13,3,8,Yes
1059,0,2,26,3,1,Technical Degree,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Frequently,3102,22,4,0,Yes
1060,0,4,30,4,3,Technical Degree,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Frequently,2285,23,4,9,Yes
1061,1,5,25,3,3,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,4031,13,3,5,Yes
1062,0,4,24,1,1,Technical Degree,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Rarely,3202,16,3,1,Yes
1063,1,3,34,6,2,Marketing,Female,Divorced,Sales,1,1,Sales Representative,No,Travel_Frequently,2351,16,3,0,Yes
1064,0,2,29,25,5,Technical Degree,Female,Married,Research & Development,2,1,Research Scientist,No,Travel_Rarely,2546,16,3,5,Yes
1065,0,3,19,2,2,Technical Degree,Male,Single,Human Resources,2,1,Human Resources,No,Travel_Rarely,2564,12,3,1,Yes
1066,0,2,33,15,1,Medical,Male,Married,Research & Development,3,3,Manager,Yes,Travel_Rarely,13610,12,3,7,Yes
1067,3,2,33,10,1,Medical,Male,Divorced,Research & Development,1,1,Laboratory Technician,No,Travel_Rarely,3408,13,3,7,Yes
1068,0,2,31,20,3,Life Sciences,Male,Married,Research & Development,3,3,Healthcare Representative,No,Travel_Frequently,9824,12,3,3,Yes
1069,3,2,34,23,3,Human Resources,Female,Divorced,Human Resources,3,3,Human Resources,Yes,Travel_Frequently,9950,15,3,9,Yes
1070,0,3,22,4,1,Technical Degree,Male,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Frequently,3894,16,3,5,Yes
1071,1,2,26,17,4,Life Sciences,Female,Divorced,Human Resources,3,1,Human Resources,Yes,Travel_Frequently,2741,11,3,0,Yes
1072,0,3,18,5,3,Marketing,Male,Single,Sales,3,1,Sales Representative,Yes,Travel_Frequently,1878,14,3,1,Yes
1073,0,3,26,24,3,Technical Degree,Male,Single,Research & Development,1,1,Laboratory Technician,Yes,Travel_Rarely,2340,18,3,1,Yes
1074,0,2,32,11,4,Other,Male,Married,Sales,4,2,Sales Executive,No,Non-Travel,4707,12,3,8,Yes
1075,1,4,24,7,3,Life Sciences,Female,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Frequently,2886,16,3,1,Yes
1076,1,2,30,12,4,Life Sciences,Male,Married,Sales,2,1,Sales Representative,No,Travel_Frequently,2033,18,3,1,Yes
1077,0,2,31,13,4,Medical,Male,Divorced,Sales,3,2,Sales Executive,No,Travel_Rarely,4233,17,3,2,Yes
1078,1,3,27,2,1,Marketing,Male,Divorced,Sales,3,1,Sales Representative,No,Travel_Rarely,3041,11,3,0,Yes
1079,2,4,45,26,4,Life Sciences,Female,Married,Sales,3,2,Sales Executive,No,Travel_Frequently,4286,14,3,2,Yes
1080,0,5,20,10,1,Medical,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,1009,11,3,1,Yes
1081,0,3,33,3,3,Life Sciences,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Frequently,3348,11,3,1,Yes
1082,0,3,24,3,2,Life Sciences,Female,Single,Sales,3,2,Sales Executive,No,Travel_Rarely,4577,14,3,9,Yes
1083,1,4,50,8,2,Technical Degree,Male,Married,Sales,3,2,Sales Executive,Yes,Travel_Frequently,6796,14,3,3,Yes
1084,0,4,28,1,2,Life Sciences,Female,Single,Research & Development,1,1,Research Scientist,Yes,Travel_Rarely,2216,13,3,7,Yes
1085,0,2,42,19,3,Medical,Male,Divorced,Research & Development,4,1,Research Scientist,Yes,Travel_Frequently,2759,12,3,6,Yes
1086,0,2,33,1,4,Other,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2686,13,3,1,Yes
1087,0,2,47,27,2,Life Sciences,Female,Single,Sales,4,2,Sales Executive,Yes,Travel_Frequently,6397,12,3,4,Yes
1088,1,2,55,2,3,Medical,Male,Married,Research & Development,3,5,Manager,Yes,Travel_Rarely,19859,13,3,5,Yes
1089,0,2,26,8,3,Technical Degree,Male,Single,Sales,2,2,Sales Executive,No,Travel_Rarely,5326,17,3,6,Yes
1090,2,2,23,6,3,Life Sciences,Male,Married,Research & Development,4,1,Laboratory Technician,Yes,Travel_Rarely,1601,21,4,1,Yes
1091,1,1,29,1,2,Life Sciences,Female,Married,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,2319,11,3,1,Yes
1092,0,3,33,16,3,Marketing,Female,Single,Sales,3,2,Sales Executive,No,Travel_Rarely,5324,15,3,5,Yes
1093,0,2,58,2,4,Life Sciences,Male,Single,Research & Development,3,5,Research Director,Yes,Travel_Rarely,19246,12,3,7,Yes
1094,0,3,28,2,4,Medical,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,4382,17,3,6,Yes
1095,2,3,49,11,3,Marketing,Female,Married,Sales,3,3,Sales Executive,No,Travel_Rarely,7654,18,3,1,Yes
1096,0,3,55,2,1,Medical,Male,Single,Sales,3,2,Sales Executive,No,Travel_Rarely,5160,16,3,4,Yes
1097,1,2,26,5,2,Medical,Female,Married,Research & Development,2,1,Research Scientist,Yes,Travel_Frequently,2366,14,3,1,Yes
1098,1,3,35,25,4,Life Sciences,Female,Divorced,Research & Development,3,1,Research Scientist,Yes,Travel_Frequently,2022,19,3,1,Yes
1099,3,3,29,1,3,Medical,Female,Divorced,Sales,2,1,Sales Representative,Yes,Travel_Rarely,2800,19,3,6,Yes
1100,0,2,32,25,4,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2795,24,4,1,Yes
1101,1,3,58,2,1,Life Sciences,Male,Divorced,Research & Development,2,1,Laboratory Technician,Yes,Travel_Frequently,2380,14,3,9,Yes
1102,0,3,20,2,3,Medical,Female,Single,Sales,2,1,Sales Representative,No,Travel_Rarely,2044,13,3,1,Yes
1103,0,3,21,18,1,Other,Female,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,2693,19,3,1,Yes
1104,1,3,22,3,1,Life Sciences,Female,Married,Research & Development,3,2,Manufacturing Director,Yes,Travel_Rarely,4171,19,3,0,Yes
1105,1,1,41,2,4,Life Sciences,Female,Divorced,Research & Development,1,1,Laboratory Technician,Yes,Travel_Rarely,2778,13,3,4,Yes
1106,0,2,39,6,3,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2404,21,4,7,Yes
1107,3,2,25,19,2,Marketing,Male,Married,Sales,2,1,Sales Representative,Yes,Travel_Rarely,2413,18,3,1,Yes
1108,0,3,19,21,3,Other,Male,Single,Sales,2,1,Sales Representative,Yes,Travel_Rarely,2121,13,3,1,Yes
1109,0,2,20,4,3,Technical Degree,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2973,19,3,1,Yes
1110,1,6,36,3,1,Life Sciences,Male,Married,Sales,2,3,Sales Executive,Yes,Travel_Rarely,10325,11,3,1,Yes
1111,0,2,37,1,4,Life Sciences,Male,Married,Sales,2,3,Sales Executive,No,Travel_Rarely,10609,11,3,5,Yes
1112,0,4,58,2,3,Technical Degree,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,2479,24,4,4,Yes
1113,0,2,40,24,3,Life Sciences,Female,Single,Sales,4,4,Sales Executive,Yes,Non-Travel,13194,16,3,4,Yes
1114,0,0,31,9,2,Medical,Male,Single,Research & Development,2,1,Research Scientist,Yes,Non-Travel,2321,22,4,0,Yes
1115,0,5,29,10,3,Life Sciences,Female,Single,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,2404,20,4,6,Yes
1116,0,2,30,22,3,Life Sciences,Female,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2132,11,3,4,Yes
1117,1,2,35,14,4,Other,Male,Divorced,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,3743,24,4,1,Yes
1118,0,2,20,11,3,Medical,Female,Single,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,2600,15,3,1,Yes
1119,0,3,30,5,3,Medical,Female,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Frequently,2422,17,3,0,Yes
1120,0,2,37,11,2,Medical,Female,Married,Research & Development,1,2,Healthcare Representative,No,Travel_Rarely,4777,15,3,5,Yes
1121,0,6,26,29,2,Medical,Male,Single,Sales,1,2,Sales Executive,No,Non-Travel,4969,18,3,8,Yes
1122,1,3,52,2,1,Marketing,Female,Married,Sales,1,5,Manager,No,Travel_Rarely,19845,15,3,1,Yes
1123,0,1,36,16,4,Life Sciences,Female,Single,Research & Development,4,1,Laboratory Technician,No,Travel_Rarely,2743,16,3,1,Yes
1124,1,3,36,15,3,Other,Male,Divorced,Research & Development,3,2,Laboratory Technician,No,Travel_Rarely,4834,14,3,7,Yes
1125,1,2,26,2,3,Life Sciences,Male,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Frequently,2042,14,3,6,Yes
1126,0,3,20,9,3,Marketing,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Frequently,2323,14,3,1,Yes
1127,0,6,21,10,3,Life Sciences,Female,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Rarely,1416,13,3,1,Yes
1128,3,2,51,4,4,Life Sciences,Male,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2461,12,3,9,Yes
1129,0,2,28,24,2,Technical Degree,Male,Single,Research & Development,2,3,Healthcare Representative,No,Non-Travel,8722,12,3,1,Yes
1130,1,1,44,1,2,Medical,Male,Married,Human Resources,2,3,Human Resources,No,Travel_Rarely,10482,14,3,9,Yes
1131,0,2,35,4,3,Technical Degree,Male,Single,Sales,3,3,Sales Executive,Yes,Travel_Rarely,9582,22,4,0,Yes
1132,0,4,33,29,4,Medical,Female,Single,Research & Development,2,2,Research Scientist,No,Travel_Frequently,4508,22,4,1,Yes
1133,1,3,25,4,1,Technical Degree,Male,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,3691,15,3,1,Yes
1134,1,0,26,21,3,Medical,Male,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2377,20,4,1,Yes
1135,0,0,33,25,3,Medical,Male,Single,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,2313,20,4,4,Yes
1136,2,2,28,1,3,Medical,Male,Divorced,Research & Development,2,1,Laboratory Technician,No,Travel_Frequently,2596,15,3,1,Yes
1137,0,4,50,1,4,Other,Male,Single,Sales,3,2,Sales Executive,Yes,Travel_Frequently,4728,14,3,3,Yes
1138,3,4,39,2,3,Life Sciences,Male,Divorced,Research & Development,3,4,Healthcare Representative,No,Travel_Frequently,12169,11,3,7,Yes
1139,0,0,18,8,1,Medical,Male,Single,Research & Development,3,1,Laboratory Technician,No,Non-Travel,1904,12,3,1,Yes
1140,0,3,33,9,4,Marketing,Female,Single,Sales,3,2,Sales Executive,Yes,Travel_Rarely,8224,17,3,0,Yes
1141,1,5,31,15,3,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Frequently,2610,12,3,1,Yes
1142,1,3,29,23,1,Life Sciences,Female,Married,Sales,2,3,Sales Executive,No,Travel_Rarely,7336,13,3,1,Yes
1143,0,2,42,12,3,Life Sciences,Male,Single,Sales,3,4,Sales Executive,Yes,Travel_Frequently,13758,12,3,0,Yes
1144,0,4,28,12,1,Life Sciences,Female,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2515,11,3,1,Yes
1145,0,2,43,9,3,Marketing,Female,Single,Sales,1,2,Sales Executive,No,Travel_Rarely,5346,13,3,8,Yes
1146,0,4,44,10,4,Life Sciences,Male,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2936,11,3,1,Yes
1147,1,5,22,3,4,Life Sciences,Male,Married,Research & Development,2,1,Research Scientist,Yes,Travel_Frequently,2853,11,3,0,Yes
1148,1,2,41,5,2,Life Sciences,Male,Divorced,Research & Development,2,1,Research Scientist,No,Non-Travel,2107,17,3,6,Yes
1149,1,3,24,17,2,Life Sciences,Female,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2210,13,3,1,Yes
1150,0,2,19,10,3,Medical,Female,Single,Research & Development,2,1,Research Scientist,Yes,Non-Travel,1859,25,4,1,Yes
1151,0,4,25,24,1,Life Sciences,Male,Single,Sales,1,1,Sales Representative,Yes,Travel_Frequently,1118,14,3,1,Yes
1152,0,2,45,2,3,Marketing,Female,Single,Sales,1,5,Manager,Yes,Travel_Rarely,18824,16,3,2,Yes
1153,0,2,21,10,2,Life Sciences,Female,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Frequently,2625,20,4,1,Yes
1154,1,2,44,15,3,Medical,Female,Married,Research & Development,3,3,Healthcare Representative,No,Travel_Rarely,7978,11,3,1,Yes
1155,2,2,29,7,3,Technical Degree,Female,Divorced,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,3339,13,3,3,Yes
1156,1,3,32,7,2,Life Sciences,Male,Married,Research & Development,3,2,Laboratory Technician,No,Travel_Rarely,4883,18,3,1,Yes
1157,0,2,39,23,3,Medical,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,3904,13,3,0,Yes
1158,0,2,40,25,4,Marketing,Male,Single,Sales,2,3,Sales Executive,Yes,Travel_Rarely,9094,12,3,2,Yes
1159,0,2,52,5,3,Life Sciences,Male,Single,Sales,3,3,Sales Executive,Yes,Travel_Rarely,8446,19,3,9,Yes
1160,0,2,31,1,3,Life Sciences,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Frequently,2302,11,3,1,Yes
1161,0,4,44,3,3,Life Sciences,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2362,12,3,4,Yes
1162,0,0,58,7,4,Medical,Female,Married,Research & Development,2,3,Manufacturing Director,Yes,Travel_Rarely,10008,14,3,7,Yes
1163,0,2,55,13,4,Marketing,Male,Single,Sales,4,4,Sales Executive,Yes,Travel_Rarely,13695,17,3,6,Yes
1164,0,3,31,2,3,Life Sciences,Female,Single,Sales,2,1,Sales Representative,No,Travel_Frequently,2785,14,3,7,Yes
1165,1,0,35,18,4,Marketing,Female,Married,Sales,3,2,Sales Executive,Yes,Travel_Frequently,4614,18,3,0,Yes
1166,2,3,31,22,4,Medical,Male,Married,Research & Development,3,2,Manufacturing Director,Yes,Travel_Rarely,6179,15,3,1,Yes
1167,0,2,27,17,4,Life Sciences,Female,Single,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,2394,13,3,1,Yes
1168,0,2,49,28,2,Life Sciences,Male,Single,Research & Development,2,2,Laboratory Technician,No,Travel_Frequently,4284,20,4,3,Yes
1169,0,1,29,14,1,Other,Female,Single,Research & Development,3,3,Healthcare Representative,Yes,Travel_Frequently,7553,12,3,0,Yes
1170,0,3,31,1,4,Life Sciences,Female,Single,Sales,1,1,Sales Representative,No,Travel_Frequently,1359,12,3,1,Yes
1171,0,3,31,8,3,Life Sciences,Female,Single,Research & Development,2,1,Research Scientist,No,Travel_Rarely,1261,12,3,1,Yes
1172,0,2,25,9,2,Life Sciences,Male,Married,Sales,2,1,Sales Representative,No,Travel_Rarely,4400,12,3,3,Yes
1173,1,1,46,9,3,Marketing,Male,Divorced,Sales,3,3,Sales Executive,No,Travel_Rarely,10096,11,3,4,Yes
1174,0,2,39,2,3,Life Sciences,Female,Single,Research & Development,2,1,Laboratory Technician,Yes,Non-Travel,3646,23,4,2,Yes
1175,0,2,31,1,5,Life Sciences,Female,Single,Research & Development,4,3,Manufacturing Director,No,Travel_Frequently,7446,11,3,1,Yes
1176,1,2,31,2,3,Life Sciences,Male,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Frequently,3722,13,3,6,Yes
1177,0,0,34,9,4,Technical Degree,Female,Married,Human Resources,3,1,Human Resources,No,Travel_Rarely,2742,15,3,1,Yes
1178,1,3,28,1,3,Technical Degree,Male,Married,Sales,3,1,Sales Representative,No,Travel_Frequently,2909,15,3,3,Yes
1179,0,4,29,13,3,Technical Degree,Female,Single,Sales,3,2,Sales Executive,No,Travel_Frequently,5765,11,3,5,Yes
1180,0,2,34,24,4,Medical,Female,Single,Sales,2,2,Sales Executive,Yes,Travel_Rarely,4599,23,4,0,Yes
1181,0,2,24,9,3,Medical,Male,Single,Research & Development,3,1,Laboratory Technician,Yes,Travel_Frequently,3172,11,3,2,Yes
1182,0,2,28,2,2,Medical,Male,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Frequently,2561,11,3,7,Yes
1183,0,2,29,1,4,Technical Degree,Male,Single,Research & Development,2,1,Research Scientist,No,Travel_Rarely,2362,13,3,6,Yes
1184,0,3,40,9,4,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,2018,14,3,3,Yes
1185,0,2,31,3,3,Life Sciences,Female,Single,Research & Development,3,1,Research Scientist,No,Travel_Frequently,4084,12,3,1,Yes
1186,1,4,30,1,3,Life Sciences,Male,Married,Sales,2,2,Sales Executive,No,Travel_Rarely,9714,11,3,1,Yes
1187,1,2,35,2,3,Life Sciences,Female,Divorced,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2074,12,3,1,Yes
1188,1,4,53,2,5,Technical Degree,Female,Married,Research & Development,2,3,Manufacturing Director,No,Travel_Rarely,10169,16,3,0,Yes
1189,2,2,38,2,3,Medical,Male,Married,Research & Development,3,2,Manufacturing Director,No,Travel_Rarely,4855,11,3,4,Yes
1190,3,3,28,24,3,Medical,Male,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2408,17,3,1,Yes
1191,0,2,18,3,2,Medical,Female,Single,Sales,3,1,Sales Representative,Yes,Travel_Frequently,1569,12,3,1,Yes
1192,0,3,35,10,3,Medical,Male,Married,Sales,2,3,Sales Executive,No,Travel_Rarely,10306,17,3,9,Yes
1193,2,2,35,15,2,Medical,Male,Divorced,Sales,1,2,Sales Executive,Yes,Travel_Rarely,5440,14,3,6,Yes
1194,0,3,40,7,3,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,2166,14,3,3,Yes
1195,0,2,35,12,4,Other,Male,Single,Sales,3,2,Sales Executive,Yes,Travel_Frequently,4581,24,4,3,Yes
1196,0,2,23,8,1,Medical,Male,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Rarely,3989,11,3,1,Yes
1197,2,3,48,7,2,Medical,Female,Married,Sales,3,1,Sales Representative,Yes,Travel_Frequently,2655,11,3,2,Yes
1198,0,2,32,2,4,Life Sciences,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,1393,12,3,1,Yes
1199,1,2,23,7,3,Life Sciences,Male,Divorced,Sales,3,1,Sales Representative,Yes,Travel_Rarely,2275,21,4,1,Yes
1200,1,2,24,22,1,Human Resources,Male,Married,Human Resources,1,1,Human Resources,No,Travel_Rarely,1555,11,3,1,Yes
1201,0,3,47,9,3,Life Sciences,Male,Married,Sales,1,4,Sales Executive,No,Travel_Frequently,12936,11,3,7,Yes
1202,3,3,36,13,5,Marketing,Male,Divorced,Sales,2,2,Sales Executive,Yes,Travel_Rarely,6134,13,3,5,Yes
1203,0,2,32,1,2,Life Sciences,Male,Single,Sales,1,2,Sales Executive,No,Travel_Rarely,6735,15,3,6,Yes
1204,1,0,30,8,3,Human Resources,Female,Divorced,Human Resources,2,1,Human Resources,No,Travel_Frequently,2180,11,3,6,Yes
1205,0,3,29,9,3,Marketing,Female,Single,Sales,1,1,Sales Representative,No,Travel_Rarely,2760,13,3,1,Yes
1206,0,2,33,16,3,Life Sciences,Female,Single,Sales,3,3,Sales Executive,Yes,Travel_Rarely,8564,20,4,2,Yes
