employee_id,active,stock_opt_lvl,trainings,age,commute_dist,ed_lvl,ed_field,gender,marital_sts,dept,engagement,job_lvl,job_title,overtime,business_travel,hourly_rate,daily_comp,monthly_comp,annual_comp,ytd_leads,ytd_sales,standard_hrs,salary_hike_pct,perf_rating,prior_emplr_cnt,env_sat,job_sat,rel_sat,wl_balance,work_exp,org_tenure,job_tenure,last_promo,mgr_tenure,interview_rating
1024,Yes,0,6,21,15,2,Life Sciences,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,96,768,16640,199680,,,80,14,3,1,3,4,4,2,0,0,0,0,0,3.7
1025,No,0,2,34,6,1,Medical,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,83,664,14387,172640,,,80,11,3,2,2,1,3,2,8,4,2,1,3,3
1026,Yes,1,3,53,5,3,Other,Female,Divorced,Research & Development,3,5,Vice President,No,Travel_Rarely,58,464,10053,120640,,,80,11,3,4,3,3,4,2,26,14,13,4,8,3.3
1027,No,0,5,32,16,1,Life Sciences,Female,Single,Research & Development,1,1,Research Scientist,Yes,Travel_Frequently,72,576,12480,149760,,,80,22,4,1,2,1,2,2,10,10,2,6,7,2.1
1028,Yes,1,2,42,8,4,Marketing,Male,Married,Sales,3,2,Sales Executive,No,Travel_Rarely,48,384,8320,99840,62,82502,80,11,3,0,3,2,4,2,10,9,7,4,2,4.5
1029,Yes,1,4,44,7,4,Medical,Female,Married,Research & Development,2,3,Healthcare Representative,No,Travel_Rarely,42,336,7280,87360,,,80,14,3,3,1,4,4,2,24,22,6,5,17,4.7
1030,Yes,0,2,46,2,4,Marketing,Female,Single,Sales,3,5,Manager,No,Travel_Rarely,83,664,14387,172640,,,80,12,3,3,2,1,4,2,22,2,2,2,1,4.2
1031,Yes,0,3,33,2,3,Medical,Male,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,78,624,13520,162240,,,80,11,3,4,3,4,4,2,7,1,1,0,0,5
1032,Yes,0,5,44,10,4,Other,Male,Married,Research & Development,3,2,Healthcare Representative,Yes,Travel_Rarely,41,328,7107,85280,,,80,13,3,2,4,4,4,1,9,4,2,1,3,4.7
1033,Yes,0,5,30,9,2,Medical,Male,Single,Research & Development,2,1,Laboratory Technician,No,Travel_Rarely,83,664,14387,172640,,,80,13,3,1,4,3,1,2,10,10,0,1,8,4.1
1034,No,1,6,39,5,3,Technical Degree,Male,Married,Sales,3,2,Sales Representative,No,Travel_Rarely,56,448,9707,116480,64,91995,80,14,3,3,4,4,3,1,19,1,0,0,0,2.3
1035,No,1,2,24,1,3,Medical,Male,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,61,488,10573,126880,,,80,16,3,2,2,4,1,2,6,2,0,2,0,3.3
1036,Yes,2,3,43,2,2,Medical,Female,Divorced,Research & Development,4,1,Research Scientist,No,Travel_Rarely,72,576,12480,149760,,,80,12,3,1,4,3,4,2,6,5,3,1,4,4.9
1037,No,0,2,50,3,2,Marketing,Male,Married,Sales,2,1,Sales Representative,Yes,Travel_Rarely,86,688,14907,178880,47,41502,80,14,3,1,1,3,3,2,3,3,2,0,2,2.2
1038,Yes,0,3,35,2,3,Marketing,Female,Married,Sales,3,1,Sales Representative,No,Travel_Rarely,97,776,16813,201760,57,30998,80,13,3,1,4,4,1,2,2,2,2,2,2,4.4
1039,Yes,1,3,36,5,4,Life Sciences,Female,Married,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,82,656,14213,170560,,,80,14,3,9,2,1,4,1,6,1,1,0,0,4.9
1040,Yes,2,3,33,1,3,Life Sciences,Female,Married,Sales,4,2,Sales Executive,No,Travel_Frequently,42,336,7280,87360,77,82493,80,19,3,2,3,1,1,2,10,5,3,1,3,4.9
1041,Yes,1,3,35,4,2,Other,Male,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,75,600,13000,156000,,,80,12,3,1,3,4,3,2,1,1,0,0,0,4.4
1042,Yes,1,6,27,2,4,Life Sciences,Female,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,33,264,5720,68640,,,80,13,3,1,4,1,4,2,1,1,0,0,0,4.5
1043,No,0,2,26,25,3,Life Sciences,Male,Single,Research & Development,1,1,Laboratory Technician,No,Travel_Rarely,48,384,8320,99840,,,80,12,3,1,1,3,3,2,1,1,0,0,1,3
1044,Yes,0,0,27,8,3,Life Sciences,Male,Single,Sales,3,3,Sales Executive,No,Travel_Frequently,37,296,6413,76960,62,104508,80,15,3,1,4,3,4,2,9,9,8,1,7,4.4
1045,Yes,0,2,30,1,2,Medical,Female,Single,Research & Development,3,2,Laboratory Technician,No,Travel_Frequently,58,464,10053,120640,,,80,23,4,1,3,4,4,2,12,12,8,3,7,4.1
1046,No,0,0,41,12,3,Technical Degree,Female,Married,Research & Development,3,5,Research Director,No,Travel_Rarely,49,392,8493,101920,,,80,12,3,1,2,3,4,2,23,22,15,15,8,3.5
1047,Yes,0,2,34,23,4,Marketing,Male,Single,Sales,3,2,Sales Executive,No,Non-Travel,72,576,12480,149760,69,57498,80,20,4,0,2,3,3,2,10,9,5,8,7,4.6
1048,Yes,0,1,37,19,2,Life Sciences,Male,Married,Research & Development,3,1,Research Scientist,No,Travel_Rarely,73,584,12653,151840,,,80,21,4,4,2,2,1,2,8,1,0,0,0,3.7
1049,Yes,0,4,46,5,4,Marketing,Male,Single,Sales,3,2,Sales Executive,Yes,Travel_Frequently,98,784,16987,203840,60,111993,80,21,4,4,1,4,3,2,14,9,6,0,8,3.7
1050,Yes,0,2,35,8,1,Life Sciences,Male,Married,Research & Development,4,1,Laboratory Technician,No,Travel_Rarely,36,288,6240,74880,,,80,19,3,1,4,4,4,2,1,1,0,0,1,4.4
1051,No,0,2,48,1,2,Life Sciences,Male,Single,Research & Development,2,3,Laboratory Technician,Yes,Travel_Rarely,98,784,16987,203840,,,80,13,3,9,1,3,4,2,23,1,0,0,0,3.6
1052,No,0,3,28,5,4,Technical Degree,Male,Single,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,50,400,8667,104000,,,80,13,3,1,3,3,3,2,2,2,2,2,2,2.2
1053,Yes,1,2,44,1,5,Marketing,Female,Divorced,Sales,3,2,Sales Executive,Yes,Travel_Rarely,75,600,13000,156000,69,71995,80,21,4,5,2,1,3,2,9,4,3,1,3,3.6
1054,Yes,1,3,35,11,2,Medical,Male,Married,Research & Development,2,3,Healthcare Representative,Yes,Non-Travel,79,632,13693,164320,,,80,13,3,2,3,1,3,2,10,4,0,2,3,3.8
1055,Yes,1,2,26,23,3,Marketing,Female,Married,Sales,2,2,Sales Executive,Yes,Travel_Rarely,47,376,8147,97760,46,52493,80,19,3,7,3,4,3,2,5,2,2,0,0,3.5
1056,Yes,0,1,33,1,2,Life Sciences,Female,Single,Research & Development,3,3,Research Director,Yes,Travel_Frequently,98,784,16987,203840,,,80,12,3,1,1,4,3,2,15,15,14,8,12,4
1057,Yes,1,3,35,18,5,Life Sciences,Male,Married,Sales,3,3,Sales Executive,No,Travel_Frequently,71,568,12307,147680,65,104503,80,22,4,1,2,1,4,2,9,9,8,1,8,4.2
1058,Yes,1,3,35,23,4,Medical,Female,Married,Research & Development,3,1,Laboratory Technician,Yes,Travel_Rarely,30,240,5200,62400,,,80,15,3,3,3,1,3,2,4,2,2,2,2,4.2
1059,Yes,1,3,31,7,4,Life Sciences,Male,Divorced,Research & Development,3,2,Laboratory Technician,No,Travel_Rarely,48,384,8320,99840,,,80,22,4,3,4,4,4,2,10,7,7,1,7,3.8
1060,Yes,1,2,37,1,4,Life Sciences,Male,Divorced,Research & Development,2,2,Manufacturing Director,No,Travel_Rarely,51,408,8840,106080,,,80,18,3,1,1,3,3,1,7,7,5,0,7,4.2
1061,Yes,1,3,32,1,3,Medical,Male,Married,Research & Development,3,2,Manufacturing Director,Yes,Travel_Rarely,33,264,5720,68640,,,80,22,4,1,1,4,2,2,9,9,8,7,8,4
1062,Yes,0,2,38,29,5,Life Sciences,Female,Single,Research & Development,3,2,Laboratory Technician,No,Travel_Frequently,50,400,8667,104000,,,80,11,3,1,4,4,4,2,10,10,3,9,9,4.5
1063,Yes,1,2,50,7,2,Medical,Female,Divorced,Research & Development,2,5,Research Director,Yes,Travel_Rarely,43,344,7453,89440,,,80,12,3,5,2,3,4,2,29,27,3,13,8,4.5
1064,Yes,0,3,59,25,3,Life Sciences,Female,Single,Sales,3,3,Sales Executive,No,Travel_Rarely,99,792,17160,205920,61,181493,80,11,3,7,1,1,4,2,28,21,16,7,9,3.5
1065,Yes,3,2,36,8,3,Technical Degree,Female,Divorced,Research & Development,3,3,Healthcare Representative,No,Travel_Rarely,59,472,10227,122720,,,80,13,3,1,3,3,2,2,17,17,14,12,8,3.5
1066,Yes,3,2,55,8,3,Medical,Female,Divorced,Research & Development,3,4,Vice President,Yes,Travel_Rarely,33,264,5720,68640,,,80,14,3,2,4,3,3,2,21,5,0,0,2,4.5
1067,Yes,0,3,36,11,3,Life Sciences,Male,Single,Research & Development,2,2,Manufacturing Director,No,Travel_Frequently,95,760,16467,197600,,,80,13,3,1,2,2,3,2,6,6,5,0,3,5
1068,Yes,1,2,45,7,3,Life Sciences,Male,Divorced,Research & Development,3,3,Research Scientist,No,Travel_Rarely,59,472,10227,122720,,,80,17,3,2,2,1,3,2,25,1,0,0,0,4.6
1069,Yes,1,2,35,1,3,Medical,Male,Married,Research & Development,3,1,Research Scientist,No,Travel_Frequently,79,632,13693,164320,,,80,13,3,4,2,1,4,2,5,3,2,1,2,3.5
1070,No,1,0,36,9,3,Medical,Male,Married,Research & Development,2,1,Research Scientist,Yes,Travel_Rarely,79,632,13693,164320,,,80,17,3,0,4,3,1,2,2,1,0,0,0,2.9
1071,Yes,0,2,59,1,1,Life Sciences,Female,Single,Sales,2,2,Sales Executive,No,Travel_Frequently,57,456,9880,118560,36,99999,80,11,3,7,1,3,4,2,20,4,3,1,3,4.4
1072,Yes,1,3,29,2,3,Life Sciences,Male,Married,Research & Development,3,1,Research Scientist,No,Travel_Rarely,76,608,13173,158080,,,80,23,4,0,3,2,4,2,6,5,4,0,4,4.1
1073,Yes,0,4,31,1,4,Medical,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,87,696,15080,180960,,,80,17,3,1,3,2,2,2,1,1,1,1,0,5
1074,Yes,2,3,32,1,3,Life Sciences,Male,Married,Research & Development,3,2,Research Scientist,No,Travel_Rarely,66,528,11440,137280,,,80,17,3,1,2,2,2,2,10,10,4,0,9,4.8
1075,Yes,0,3,36,6,3,Life Sciences,Female,Married,Research & Development,4,1,Laboratory Technician,No,Travel_Rarely,55,440,9533,114400,,,80,12,3,3,2,4,2,2,5,1,0,0,0,3.9
1076,Yes,0,2,31,8,4,Life Sciences,Female,Single,Research & Development,3,2,Manufacturing Director,No,Travel_Rarely,61,488,10573,126880,,,80,23,4,1,3,4,4,2,11,11,7,1,8,3.5
1077,Yes,0,2,35,1,4,Marketing,Male,Single,Sales,2,2,Sales Executive,No,Travel_Rarely,32,256,5547,66560,42,135502,80,14,3,0,3,1,2,2,16,15,13,2,8,4.1
1078,Yes,0,3,45,6,4,Other,Male,Married,Research & Development,3,3,Research Director,Yes,Travel_Rarely,52,416,9013,108160,,,80,14,3,4,4,1,2,1,17,0,0,0,0,4.9
1079,Yes,0,3,37,7,4,Medical,Male,Single,Research & Development,3,3,Research Director,No,Travel_Rarely,30,240,5200,62400,,,80,13,3,4,1,3,1,1,16,5,2,0,2,4.3
1080,Yes,1,2,46,5,2,Medical,Male,Divorced,Human Resources,3,2,Human Resources,Yes,Travel_Rarely,80,640,13867,166400,,,80,22,4,8,2,2,4,2,16,4,2,0,2,4
1081,Yes,2,1,30,1,1,Life Sciences,Male,Married,Research & Development,2,2,Laboratory Technician,Yes,Travel_Rarely,55,440,9533,114400,,,80,12,3,1,4,4,3,2,10,10,8,3,0,4.8
1082,Yes,0,3,35,1,3,Medical,Male,Single,Research & Development,2,1,Research Scientist,No,Travel_Rarely,30,240,5200,62400,,,80,18,3,1,2,3,1,2,6,6,4,0,4,3.9
1083,Yes,1,4,55,1,2,Life Sciences,Male,Married,Sales,3,3,Sales Executive,No,Travel_Rarely,70,560,12133,145600,55,109506,80,14,3,3,1,4,4,2,24,1,0,1,0,4.5
1084,Yes,3,3,38,6,3,Medical,Female,Divorced,Research & Development,1,2,Research Scientist,Yes,Non-Travel,79,632,13693,164320,,,80,12,3,7,2,4,4,2,17,13,11,1,9,4.9
1085,Yes,0,2,34,1,2,Medical,Male,Married,Research & Development,3,2,Manufacturing Director,No,Travel_Rarely,94,752,16293,195520,,,80,15,3,1,1,2,3,2,5,5,2,1,3,4.3
1086,Yes,0,3,56,7,3,Life Sciences,Male,Single,Research & Development,1,3,Manufacturing Director,No,Travel_Rarely,49,392,8493,101920,,,80,11,3,4,4,4,1,2,37,6,4,0,2,4.3
1087,Yes,1,3,23,2,1,Technical Degree,Male,Divorced,Sales,3,1,Sales Representative,No,Travel_Rarely,62,496,10747,128960,59,33997,80,13,3,3,3,1,3,2,3,0,0,0,0,4.8
1088,Yes,2,4,51,9,4,Life Sciences,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,96,768,16640,199680,,,80,23,4,3,4,4,2,2,10,4,2,0,3,4.1
1089,Yes,3,3,30,2,3,Life Sciences,Male,Married,Research & Development,2,2,Healthcare Representative,No,Travel_Rarely,99,792,17160,205920,,,80,19,3,1,3,4,1,2,11,11,10,10,8,4.9
1090,No,0,3,46,9,2,Medical,Male,Single,Sales,2,3,Sales Executive,No,Travel_Rarely,64,512,11093,133120,45,84508,80,16,3,1,3,4,4,2,9,9,8,4,7,3.1
1091,Yes,1,3,40,1,4,Life Sciences,Male,Married,Research & Development,2,4,Healthcare Representative,No,Travel_Frequently,78,624,13520,162240,,,80,22,4,1,3,2,4,2,22,22,3,11,11,3.8
1092,Yes,0,2,51,21,4,Marketing,Male,Single,Sales,3,2,Sales Executive,Yes,Travel_Rarely,71,568,12307,147680,55,103000,80,22,4,0,3,4,4,1,11,10,7,1,0,4.1
1093,Yes,3,4,30,4,2,Medical,Female,Divorced,Sales,2,2,Sales Executive,Yes,Travel_Rarely,63,504,10920,131040,33,98005,80,12,3,1,3,2,2,2,11,11,8,2,7,4.8
1094,Yes,1,5,46,1,3,Medical,Male,Married,Research & Development,2,3,Healthcare Representative,Yes,Travel_Frequently,40,320,6933,83200,,,80,13,3,2,3,1,3,2,21,10,9,9,5,4.6
1095,Yes,0,0,32,6,4,Medical,Male,Single,Sales,3,2,Sales Executive,No,Travel_Rarely,87,696,15080,180960,75,91011,80,16,3,1,2,3,1,2,12,11,8,5,7,3.8
1096,Yes,1,5,54,2,4,Technical Degree,Female,Married,Research & Development,3,3,Research Director,No,Travel_Rarely,60,480,10400,124800,,,80,12,3,9,1,3,1,1,16,4,3,0,3,5
1097,Yes,1,2,24,3,2,Other,Female,Married,Sales,3,2,Sales Executive,No,Travel_Rarely,33,264,5720,68640,61,57004,80,21,4,0,1,3,1,2,4,3,2,0,2,4.5
1098,Yes,0,3,28,4,3,Medical,Male,Married,Sales,3,2,Sales Executive,No,Non-Travel,43,344,7453,89440,66,70000,80,15,3,1,2,3,2,1,5,5,4,0,4,4.6
1099,Yes,0,1,58,10,4,Medical,Male,Single,Sales,3,4,Sales Executive,No,Travel_Rarely,37,296,6413,76960,60,281499,80,13,3,0,4,3,3,2,38,40,10,1,8,4
1100,Yes,1,3,44,23,3,Medical,Male,Married,Research & Development,3,2,Laboratory Technician,No,Non-Travel,67,536,11613,139360,,,80,12,3,4,2,2,3,1,17,3,2,1,2,3.4
1101,No,0,3,37,6,4,Human Resources,Male,Divorced,Human Resources,3,1,Human Resources,Yes,Travel_Rarely,63,504,10920,131040,,,80,22,4,4,3,1,4,2,7,3,2,0,2,3.1
1102,Yes,0,2,32,1,1,Life Sciences,Male,Single,Research & Development,3,1,Research Scientist,No,Travel_Rarely,71,568,12307,147680,,,80,13,3,1,4,1,4,2,1,1,0,0,0,3.7
1103,No,0,5,20,6,3,Life Sciences,Female,Single,Research & Development,2,1,Laboratory Technician,Yes,Travel_Frequently,66,528,11440,137280,,,80,18,3,1,4,4,2,2,1,1,0,1,0,3.2
1104,Yes,0,3,34,6,4,Other,Female,Single,Research & Development,3,2,Research Scientist,No,Travel_Rarely,41,328,7107,85280,,,80,14,3,1,1,3,3,2,16,16,13,2,10,4.8
1105,Yes,1,2,37,2,2,Life Sciences,Male,Divorced,Research & Development,2,2,Healthcare Representative,No,Non-Travel,100,800,17333,208000,,,80,14,3,5,3,4,4,1,17,1,0,0,0,4.7
1106,Yes,1,3,59,2,4,Human Resources,Female,Married,Human Resources,2,5,Manager,No,Non-Travel,32,256,5547,66560,,,80,21,4,9,3,4,4,2,30,3,2,2,2,3.6
1107,Yes,0,1,50,1,3,Life Sciences,Female,Married,Research & Development,3,5,Research Director,Yes,Travel_Frequently,73,584,12653,151840,,,80,19,3,3,1,2,1,2,28,8,3,0,7,4.8
1108,No,0,1,25,5,3,Marketing,Male,Single,Sales,2,2,Sales Executive,Yes,Travel_Rarely,46,368,7973,95680,36,70500,80,11,3,1,3,3,4,2,6,6,4,0,3,2.5
1109,Yes,2,2,25,7,1,Medical,Male,Married,Research & Development,2,1,Research Scientist,No,Travel_Rarely,64,512,11093,133120,,,80,11,3,1,4,4,3,2,2,2,2,2,1,5
1110,Yes,0,5,22,15,3,Medical,Female,Single,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,59,472,10227,122720,,,80,15,3,1,2,4,3,2,1,0,0,0,0,4.6
1111,Yes,0,1,51,1,4,Medical,Female,Single,Research & Development,2,3,Healthcare Representative,No,Travel_Frequently,30,240,5200,62400,,,80,20,4,3,1,1,3,2,23,13,12,12,8,4.5
1112,No,0,3,34,7,3,Life Sciences,Male,Single,Research & Development,1,2,Laboratory Technician,Yes,Travel_Frequently,66,528,11440,137280,,,80,24,4,1,1,3,4,2,9,9,7,0,6,3
1113,Yes,0,3,54,26,3,Human Resources,Female,Single,Human Resources,4,4,Manager,Yes,Non-Travel,30,240,5200,62400,,,80,12,3,2,4,4,3,2,23,5,3,4,4,4.6
1114,Yes,1,2,24,18,1,Life Sciences,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,52,416,9013,108160,,,80,12,3,0,2,3,3,2,6,5,3,1,2,4.1
1115,Yes,1,3,34,6,4,Life Sciences,Female,Divorced,Research & Development,2,2,Research Scientist,No,Travel_Rarely,45,360,7800,93600,,,80,15,3,6,3,2,3,2,12,1,0,0,0,3.6
1116,Yes,0,3,37,3,3,Life Sciences,Male,Single,Sales,3,3,Sales Executive,No,Travel_Rarely,87,696,15080,180960,59,90999,80,12,3,2,3,4,1,2,12,5,3,1,3,3.6
1117,Yes,0,6,34,5,3,Medical,Female,Single,Research & Development,2,3,Manager,No,Travel_Rarely,45,360,7800,93600,,,80,12,3,2,3,1,4,2,14,11,10,5,8,3.8
1118,Yes,1,6,36,11,2,Technical Degree,Female,Married,Sales,3,3,Sales Executive,No,Travel_Frequently,92,736,15947,191360,66,99998,80,14,3,0,2,4,3,2,10,9,7,2,8,5
1119,Yes,1,2,36,3,2,Life Sciences,Female,Divorced,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,39,312,6760,81120,,,80,22,4,5,1,4,1,2,7,1,0,0,0,4.7
1120,Yes,2,3,43,26,2,Life Sciences,Male,Married,Sales,3,4,Manager,Yes,Travel_Frequently,92,736,15947,191360,,,80,12,3,1,3,4,4,1,25,25,12,4,12,3.7
1121,Yes,3,2,30,23,3,Life Sciences,Male,Divorced,Research & Development,1,1,Research Scientist,No,Travel_Frequently,96,768,16640,199680,,,80,25,4,1,1,3,3,2,10,10,7,0,9,4.2
1122,Yes,1,2,33,22,2,Marketing,Male,Married,Sales,3,2,Sales Executive,No,Non-Travel,95,760,16467,197600,75,91507,80,13,3,0,3,2,1,1,8,7,7,0,7,4.6
1123,No,3,2,56,14,4,Life Sciences,Female,Married,Research & Development,3,1,Research Scientist,Yes,Travel_Rarely,72,576,12480,149760,,,80,18,3,9,2,2,1,2,7,5,4,4,3,2.4
1124,Yes,0,5,51,6,3,Life Sciences,Male,Single,Research & Development,3,5,Research Director,No,Travel_Rarely,51,408,8840,106080,,,80,13,3,7,1,3,3,2,23,20,18,15,15,4.5
1125,No,0,3,31,6,4,Life Sciences,Male,Married,Sales,1,2,Sales Executive,Yes,Travel_Rarely,76,608,13173,158080,18,58500,80,18,3,4,2,3,2,2,12,7,7,7,7,2.1
1126,Yes,0,3,26,6,3,Other,Female,Married,Research & Development,2,1,Research Scientist,No,Travel_Rarely,46,368,7973,95680,,,80,19,3,1,3,2,3,2,5,5,4,4,3,3.4
1127,No,1,3,58,23,4,Medical,Female,Married,Research & Development,3,3,Healthcare Representative,No,Travel_Rarely,94,752,16293,195520,,,80,12,3,1,4,4,4,2,40,72,10,15,6,2.5
1128,No,0,2,19,22,1,Marketing,Male,Single,Sales,3,1,Sales Representative,Yes,Travel_Rarely,50,400,8667,104000,57,25001,80,19,3,1,4,3,4,2,0,0,0,0,0,2.3
1129,Yes,1,2,22,2,1,Technical Degree,Male,Married,Research & Development,3,1,Laboratory Technician,No,Travel_Rarely,100,800,17333,208000,,,80,14,3,0,3,4,3,2,3,2,1,2,1,4.8
1130,Yes,0,2,49,20,4,Medical,Female,Married,Research & Development,3,2,Manufacturing Director,No,Travel_Rarely,96,768,16640,199680,,,80,14,3,1,3,1,3,2,16,15,11,5,11,4.8
1131,Yes,0,2,43,28,3,Medical,Female,Single,Research & Development,4,1,Research Scientist,No,Travel_Frequently,72,576,12480,149760,,,80,12,3,4,2,3,4,2,18,3,2,1,2,5
1132,Yes,0,3,50,12,3,Marketing,Female,Single,Sales,3,3,Sales Executive,No,Travel_Frequently,77,616,13347,160160,55,87997,80,11,3,4,3,4,4,2,16,2,2,2,1,3.7
1133,No,1,2,31,20,3,Life Sciences,Female,Married,Sales,1,2,Sales Executive,Yes,Travel_Rarely,71,568,12307,147680,14,34496,80,11,3,3,2,3,3,2,4,2,2,2,2,2.8
1134,Yes,1,2,41,9,1,Life Sciences,Male,Divorced,Sales,3,3,Sales Executive,Yes,Travel_Rarely,96,768,16640,199680,61,116004,80,13,3,3,3,3,3,2,12,9,7,0,7,5
1135,Yes,1,3,26,25,1,Life Sciences,Female,Married,Human Resources,3,1,Human Resources,No,Travel_Rarely,61,488,10573,126880,,,80,23,4,1,3,3,4,2,8,8,7,5,7,4.1
1136,Yes,2,0,36,6,2,Medical,Male,Divorced,Research & Development,3,2,Manufacturing Director,No,Travel_Rarely,84,672,14560,174720,,,80,20,4,6,2,2,4,2,7,3,2,0,1,3.9
